word,weight,number_of_words
berlaga,-4,1
berlagak,4,1
berlagu,4,1
berlainan,-4,1
berlalu,-5,1
berlalu dr dunia,-5,3
berlama-lama,-2,1
berlandaskan,-4,1
berlangau,-4,1
berlangganan,2,1
berlanggaran,-4,1
berlanglang,4,1
berlara-lara,-4,1
berlarasan,3,1
berlarat-larat,-4,1
berlarian,-5,1
berlatih,4,1
berlawanan,-4,1
berlebih,1,1
berlebih,-3,1
berlebih-lebih,-4,1
berlelehan,-3,1
berlengkesa,-3,1
berlepasan,-3,1
berlevel,4,1
berlezat,2,1
berlibat,3,1
berlibat-libat,-4,1
berlik,-4,1
berliku-liku,-4,1
berlilit,3,1
berlimpah,1,1
berlinang,-3,1
berlipat,-3,1
berlipat ganda,-3,2
berlompatan,-5,1
berlubang,-3,1
berluruhan,-3,1
berlutut,-2,1
bermacam-macam,3,1
bermain-main,-2,1
bermakna,4,1
bermanfaat,5,1
bermartabat,4,1
bermaslahat,2,1
bermesraan,-3,1
bermetamorfosis,-3,1
bermohon,3,1
bermohon,-2,1
bermohon diri,2,2
bermoral,-4,1
bermotif,-3,1
bermukah,-4,1
bermukim,2,1
bermukim,-4,1
bermula,-4,1
bermuram durja,-5,2
bermusuhan,-4,1
bermutu,3,1
bermutu,-1,1
bernafsu,3,1
bernama,4,1
bernapaskan,3,1
bernas,2,1
bernas,-3,1
bernilai,2,1
bernoda,-4,1
bernuansa,-3,1
bernyali,4,1
bernyali,-2,1
bernyali besar,3,2
bernyali besar,-1,2
bernyanyi,2,1
berogak-ogak,-4,1
beroleh,3,1
berolok-olok,-4,1
berombongan,-4,1
beromong kosong,-4,2
berona,-3,1
berongga,-3,1
beroperasi,1,1
beroperasi,-4,1
berotak tajam,4,2
berpacangan,3,1
berpacaran,3,1
berpacaran,-3,1
berpada-pada,-3,1
berpadu,-3,1
berpakaian,4,1
berpalit-palit,-4,1
berpamor,3,1
berpandangan,1,1
berpangku tangan,-4,2
berparade,1,1
berparak,-4,1
berpartai,-3,1
berpartisipasi,3,1
berpasangan,-3,1
berpasrah,3,1
berpasrah,-2,1
berpasuk,-3,1
berpatokan,4,1
berpatroli,4,1
berpaut,3,1
berpedoman,4,1
berpegang,4,1
berpelajaran,4,1
berpembawaan,1,1
berpencar,-5,1
berpencaran,-3,1
berpendidikan,3,1
berpengalaman,4,1
berpengalaman,-1,1
berpengaruh,3,1
berpengaruh,-2,1
berpengetahuan,4,1
berperai-perai,-5,1
berperan serta,2,2
berperang,3,1
berperang,-4,1
berperang hati,-4,2
